time_s,amplitude
0.0,0.0
0.001,-0.010431
0.002,-0.013411
0.003,0.0071526
0.004,0.028312
0.005,0.033975
0.006,0.02414
0.007,0.019372
0.008,0.03159
0.009,0.035465
0.01,0.02265
0.011,0.012517
0.012,0.0074506
0.013,0.0065565
0.014,0.0065565
0.015,0.0068545
0.016,0.014305
0.017,0.015795
0.018,-0.00059605
0.019,-0.014901
0.02,-0.0098348
0.021,0.0011921
0.022,0.010729
0.023,0.024438
0.024,0.033975
0.025,0.023544
0.026,0.0011921
0.027,-0.0056624
0.028,0.0041723
0.029,0.014305
0.03,0.0086427
0.031,-0.0074506
0.032,-0.014305
0.033,-0.014305
0.034,-0.015199
0.035,-0.024438
0.036,-0.035763
0.037,-0.033379
0.038,-0.01967
0.039,-0.014305
0.04,-0.023246
0.041,-0.027418
0.042,-0.02116
0.043,-0.013411
0.044,-0.010729
0.045,-0.0053644
0.046,0.0017881
0.047,0.0020862
0.048,0.0038743
0.049,0.0023842
0.05,0.0014901
0.051,0.0035763
0.052,0.0017881
0.053,0.012219
0.054,0.025034
0.055,0.022352
0.056,0.010133
0.057,-0.00089407
0.058,-0.0077486
0.059,-0.017285
0.06,-0.02265
0.061,-0.0301
0.062,-0.038445
0.063,-0.026822
0.064,-0.017285
0.065,-0.019073
0.066,-0.024438
0.067,-0.019968
0.068,0.0023842
0.069,0.012815
0.07,0.010431
0.071,0.010729
0.072,0.0086427
0.073,0.0017881
0.074,-0.0038743
0.075,-0.00089407
0.076,-0.0035763
0.077,-0.014007
0.078,-0.022352
0.079,-0.026226
0.08,-0.024438
0.081,-0.029206
0.082,-0.038147
0.083,-0.038743
0.084,-0.035763
0.085,-0.036657
0.086,-0.039041
0.087,-0.02712
0.088,-0.016093
0.089,-0.036657
0.09,-0.067353
0.091,-0.07689
0.092,-0.063777
0.093,-0.043809
0.094,-0.030398
0.095,-0.02116
0.096,-0.014305
0.097,-0.02116
0.098,-0.034869
0.099,-0.034273
0.1,-0.018477
0.101,0.00089407
0.102,0.011325
0.103,0.0071526
0.104,-0.0098348
0.105,-0.030994
0.106,-0.036955
0.107,-0.025928
0.108,-0.02116
0.109,-0.029206
0.11,-0.033379
0.111,-0.033081
0.112,-0.036061
0.113,-0.032783
0.114,-0.02712
0.115,-0.023544
0.116,-0.014603
0.117,-0.0035763
0.118,0.0011921
0.119,-0.0011921
0.12,-0.0050664
0.121,-0.0083447
0.122,-0.0032783
0.123,0.0068545
0.124,-0.0020862
0.125,-0.02265
0.126,-0.022948
0.127,-0.0068545
0.128,-0.0086427
0.129,-0.029504
0.13,-0.039339
0.131,-0.03159
0.132,-0.0301
0.133,-0.046194
0.134,-0.059605
0.135,-0.055134
0.136,-0.043511
0.137,-0.047684
0.138,-0.065863
0.139,-0.073612
0.14,-0.070035
0.141,-0.062585
0.142,-0.056624
0.143,-0.053644
0.144,-0.045896
0.145,-0.036657
0.146,-0.040233
0.147,-0.053644
0.148,-0.066459
0.149,-0.069439
0.15,-0.062287
0.151,-0.060201
0.152,-0.07093
0.153,-0.092685
0.154,-0.10341
0.155,-0.09805
0.156,-0.10014
0.157,-0.095069
0.158,-0.076294
0.159,-0.061989
0.16,-0.058711
0.161,-0.067055
0.162,-0.059307
0.163,-0.034273
0.164,-0.018775
0.165,-0.014901
0.166,-0.012219
0.167,-0.0041723
0.168,-0.0014901
0.169,-0.0050664
0.17,-0.0029802
0.171,-0.0044703
0.172,-0.013709
0.173,-0.021756
0.174,-0.024736
0.175,-0.022948
0.176,-0.02116
0.177,-0.02712
0.178,-0.026524
0.179,-0.015199
0.18,-0.010729
0.181,-0.0080466
0.182,-0.0023842
0.183,0.0023842
0.184,0.011325
0.185,0.020862
0.186,0.026524
0.187,0.032187
0.188,0.034571
0.189,0.029206
0.19,0.028014
0.191,0.032187
0.192,0.033379
0.193,0.043213
0.194,0.053942
0.195,0.046194
0.196,0.032187
0.197,0.028908
0.198,0.039637
0.199,0.051856
0.2,0.04977
0.201,0.034273
0.202,0.027716
0.203,0.043511
0.204,0.057518
0.205,0.05722
0.206,0.062287
0.207,0.079572
0.208,0.096858
0.209,0.094175
0.21,0.077486
0.211,0.078976
0.212,0.091493
0.213,0.081956
0.214,0.055432
0.215,0.045002
0.216,0.046492
0.217,0.036061
0.218,0.019372
0.219,0.0065565
0.22,0.0074506
0.221,0.011027
0.222,0.00089407
0.223,-0.010729
0.224,-0.013113
0.225,-0.0011921
0.226,0.012219
0.227,0.010431
0.228,0.011325
0.229,0.020862
0.23,0.031888
0.231,0.036061
0.232,0.027418
0.233,0.022352
0.234,0.017583
0.235,0.0014901
0.236,-0.013113
0.237,-0.017881
0.238,-0.019073
0.239,-0.02861
0.24,-0.045896
0.241,-0.058413
0.242,-0.067353
0.243,-0.0754
0.244,-0.084341
0.245,-0.093281
0.246,-0.092685
0.247,-0.080466
0.248,-0.07689
0.249,-0.084639
0.25,-0.081658
0.251,-0.067949
0.252,-0.065565
0.253,-0.076294
0.254,-0.082552
0.255,-0.083447
0.256,-0.081062
0.257,-0.081956
0.258,-0.096262
0.259,-0.10997
0.26,-0.11712
0.261,-0.1213
0.262,-0.12666
0.263,-0.12875
0.264,-0.12457
0.265,-0.11832
0.266,-0.10908
0.267,-0.10431
0.268,-0.10222
0.269,-0.089407
0.27,-0.067055
0.271,-0.04828
0.272,-0.044107
0.273,-0.0453
0.274,-0.036359
0.275,-0.018775
0.276,-0.00059605
0.277,0.016689
0.278,0.028014
0.279,0.038147
0.28,0.048876
0.281,0.050664
0.282,0.04828
0.283,0.049472
0.284,0.056624
0.285,0.053346
0.286,0.038743
0.287,0.031292
0.288,0.026822
0.289,0.035763
0.29,0.046492
0.291,0.041723
0.292,0.040829
0.293,0.043511
0.294,0.046194
0.295,0.050366
0.296,0.054538
0.297,0.065565
0.298,0.07391
0.299,0.07689
0.3,0.07689
0.301,0.073314
0.302,0.070632
0.303,0.063777
0.304,0.04828
0.305,0.031888
0.306,0.022352
0.307,0.014603
0.308,0.0059605
0.309,-0.0056624
0.31,-0.028014
0.311,-0.050068
0.312,-0.056028
0.313,-0.047386
0.314,-0.039339
0.315,-0.039935
0.316,-0.036061
0.317,-0.028312
0.318,-0.024438
0.319,-0.028908
0.32,-0.037253
0.321,-0.036359
0.322,-0.027716
0.323,-0.027716
0.324,-0.037551
0.325,-0.043213
0.326,-0.043809
0.327,-0.039339
0.328,-0.036657
0.329,-0.043511
0.33,-0.051856
0.331,-0.061095
0.332,-0.063181
0.333,-0.059307
0.334,-0.060797
0.335,-0.069439
0.336,-0.086129
0.337,-0.097752
0.338,-0.09805
0.339,-0.093877
